군  구,주 민 등 록 인 구(남),주 민 등 록 인 구(여),주 민 등 록 인 구(세대수),외 국 인(남),외 국 인(여)
중   구,62202,57227,55952,2006,1886
동   구,33875,33312,29153,518,391
남   구,211021,207512,183418,4281,4235
연수구,169121,170806,126408,4386,4862
남동구,268451,270525,217621,8370,3824
부평구,262855,266867,213270,6602,6178
계양구,157731,158190,124349,1396,1775
서   구,269966,264198,208064,8331,3793
강화군,34498,34274,32202,495,278
옹진군,12010,9200,11746,130,54
